Revision	EventDate-Long	Total TD Mapped To Methods	TDdensity	Contribution of NEW	Contribution of DELETED	Contribution of MODIFIED	Has Refactorings
470824fdac1cf2a1e7bd76a9de9d830a21fa0a5e	1382281943000	1028	0.7124047124	-0.01092219811	0.01126571257	-0.004335705635	Yes, Refactoring Type: [RENAME_CLASS, RENAME_CLASS, RENAME_CLASS, CHANGE_ATTRIBUTE_TYPE, CHANGE_VARIABLE_TYPE, MODIFY_CLASS_ANNOTATION, CHANGE_ATTRIBUTE_TYPE, REMOVE_PARAMETER, MODIFY_METHOD_ANNOTATION, RENAME_METHOD, CHANGE_PARAMETER_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_ATTRIBUTE_TYPE, CHANGE_RETURN_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_RETURN_TYPE, CHANGE_RETURN_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_RETURN_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_RETURN_TYPE, CHANGE_VARIABLE_TYPE, CHANGE_RETURN_TYPE], Involved Classes After: [[(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSession.java,com.nflabs.zeppelin.server.ZQLSession)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZeppelinServer.java,com.nflabs.zeppelin.server.ZeppelinServer)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZeppelinServer.java,com.nflabs.zeppelin.server.ZeppelinServer)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)]]
3b63bdbc93ee64ad33e586a8f4e9c8ab19643ac7	1382313433000	1127	0.7351598174	0.03792380271		-0.01516869776	Yes, Refactoring Type: [MODIFY_METHOD_ANNOTATION, RENAME_METHOD, RENAME_PARAMETER, RENAME_METHOD], Involved Classes After: [[(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)]]
0472fd7b9b8e5a40172eed867670e119b26dfe89	1382337155000	1139	0.7204301075	-0.005051606021	0.001441489838	-0.01111959364	Yes, Refactoring Type: [CHANGE_VARIABLE_TYPE, CHANGE_RETURN_TYPE, CHANGE_RETURN_TYPE, CHANGE_RETURN_TYPE], Involved Classes After: [[(zeppelin-server/src/main/java/com/nflabs/zeppelin/rest/ZQL.java,com.nflabs.zeppelin.rest.ZQL)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/scheduler/Job.java,com.nflabs.zeppelin.scheduler.Job)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSessionManager.java,com.nflabs.zeppelin.server.ZQLSessionManager)], [(zeppelin-server/src/test/java/com/nflabs/zeppelin/scheduler/SleepingJob.java,com.nflabs.zeppelin.scheduler.SleepingJob)]]
6618016221d311ba64be2b6f52591d28cc6c1c08	1382345851000	1149	0.7172284644	-0.0004553919769	0.0004559684225	-0.003202219553	No
4723c2ac9c11f5aa676e7e9da80f2c5f80acb16a	1382347532000	1149	0.7163341646	-0.001340613952		0.0004463141212	No
3f72ce255da54e4d984781fabc48031d7764ba90	1382348006000	1149	0.7114551084			-0.004879056229	No
8132ac66a0fee76802063408c2c5418f1ee92bf3	1382349230000	1139	0.7039555006			-0.007499607741	Yes, Refactoring Type: [CHANGE_RETURN_TYPE, CHANGE_ATTRIBUTE_TYPE, RENAME_ATTRIBUTE], Involved Classes After: [[(zeppelin-server/src/main/java/com/nflabs/zeppelin/scheduler/Job.java,com.nflabs.zeppelin.scheduler.Job)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/scheduler/Job.java,com.nflabs.zeppelin.scheduler.Job)], [(zeppelin-server/src/main/java/com/nflabs/zeppelin/scheduler/Job.java,com.nflabs.zeppelin.scheduler.Job)]]
7cfc5288f4ddc7734658859f57ae5ca5d36f0067	1382363082000	1175	0.6907701352	-0.01068569716	0.01014949622	-0.01264916446	Yes, Refactoring Type: [CHANGE_VARIABLE_TYPE, RENAME_PARAMETER, RENAME_PARAMETER, RENAME_ATTRIBUTE, EXTRACT_OPERATION, EXTRACT_OPERATION, CHANGE_RETURN_TYPE, EXTRACT_OPERATION, PARAMETERIZE_VARIABLE, REPLACE_VARIABLE_WITH_ATTRIBUTE, CHANGE_VARIABLE_TYPE, EXTRACT_VARIABLE, CHANGE_VARIABLE_TYPE, PULL_UP_ATTRIBUTE, ADD_METHOD_ANNOTATION, PULL_UP_OPERATION, EXTRACT_AND_MOVE_OPERATION], Involved Classes After: [[(zeppelin-server/src/main/java/com/nflabs/zeppelin/server/ZQLSession.java,com.nflabs.zeppelin.server.ZQLSession)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Z.java,com.nflabs.zeppelin.zengine.Z)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Z.java,com.nflabs.zeppelin.zengine.Z)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Z.java,com.nflabs.zeppelin.zengine.Z)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Z.java,com.nflabs.zeppelin.zengine.Z)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Z.java,com.nflabs.zeppelin.zengine.Z)], [(zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/ZQLTest.java,com.nflabs.zeppelin.zengine.ZQLTest)], [(zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/ZTest.java,com.nflabs.zeppelin.zengine.ZTest)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/ZTest.java,com.nflabs.zeppelin.zengine.ZTest), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)]]
bd7a40af1ffa165eb2582a3d62685cec589e36bc	1382367830000	1179	0.7013682332	-0.001742278478	0.0008131490703	0.01152722739	Yes, Refactoring Type: [RENAME_VARIABLE, PULL_UP_ATTRIBUTE, CHANGE_RETURN_TYPE, PULL_UP_OPERATION, EXTRACT_AND_MOVE_OPERATION], Involved Classes After: [[(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)]]
03c506cc987cad8a867fd1cb5eed69739ad26494	1382368087000	1179	0.7022036927				No
3be19a41633a0938ce935e3c976c907fce56082d	1382397021000	1174	0.6988095238	-0.002500428579		-0.0008937402854	Yes, Refactoring Type: [EXTRACT_VARIABLE, RENAME_VARIABLE], Involved Classes After: [[(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L)]]
5dd41b67366ccb75dd0fb7010819ca6e4b131e26	1382397193000	1174	0.6992257296			0.0004162057914	No
5e0cb282929c73c145cac00b10cb9e98c7a2e1fa	1382541861000	1174	0.5082251082	-0.1910006214			No
